suburb,Property_Price
SEAFORD RISE,723500
SEATON,862000
SEAVIEW DOWNS,985750
SEFTON PARK,975000
SELLICKS BEACH,655000
SELLICKS HILL,0
SEMAPHORE,816000
SEMAPHORE PARK,1015000
SEMAPHORE SOUTH,1150000
SEVENHILL,-1
SHEA,-1
SHEIDOW PARK,817500
SHERWOOD,-1
SKYE,1250000
SMITHFIELD,470000
SMITHFIELD PLAINS,475000
SMOKY BAY,-1
SNOWTOWN,-1
SOLOMONTOWN,-1
SOMERTON PARK,2040000
SOUTH BRIGHTON,1405000
SOUTH PLYMPTON,930000
SOUTHEND,-1
SPALDING,-1
SPRINGFIELD,2250000
SPRINGTON,-1
ST AGNES,645000
ST GEORGES,2417500
ST MARYS,912500
ST MORRIS,1440000
ST PETERS,2235000
STANLEY FLAT,-1
STANSBURY,-1
STEPNEY,1427500
STIRLING,1325000
STIRLING NORTH,-1
STOCKPORT,-1
STOCKWELL,-1
STONYFELL,1665000
STRATHALBYN,-1
STREAKY BAY,-1
STURT,838500
SUMMERTOWN,1050000
SUNLANDS,-1
SUNNYSIDE,-1
SURREY DOWNS,704000
SUTTONTOWN,-1
SWANPORT,-1
TAILEM BEND,-1
TALDRA,-1
TANTANOOLA,-1
TANUNDA,-1
TAPEROO,676000
TAPLAN,-1
TARLEE,-1
TARPEENA,-1
TATACHILLA,0
TAYLORVILLE,-1
TEA TREE GULLY,701304
TENNYSON,3425000
TERINGIE,1650000
TEROWIE,-1
THEBARTON,907000
THEVENARD,-1
THOMPSON BEACH,-1
TICKERA,-1
TIDDY WIDDY BEACH,-1
TINTINARA,-1
TOOPERANG,-1
TOORAK GARDENS,3275800
TORRENS PARK,1320500
TORRENSVILLE,1011000
TRANMERE,1280000
TRINITY GARDENS,1450000
TROTT PARK,740000
TRURO,-1
TULKA,-1
TUMBY BAY,-1
TUNGKILLO,-1
TUSMORE,1760000
TWO WELLS,-1
ULEYBURY,0
UNDERDALE,1070000
UNGARRA,-1
UNLEY,1999000
UNLEY PARK,2405000
UPPER HERMITAGE,-1
UPPER STURT,1250000
URAIDLA,1051000
URRBRAE,1530000
VALE PARK,1235000
VALLEY VIEW,703000
VENUS BAY,-1
VERDUN,-1
VICTOR HARBOR,-1
VIRGINIA,847500
VISTA,945500
VIVONNE BAY,-1
WAIKERIE,-1
WAITPINGA,-1
WALKER FLAT,-1
WALKERVILLE,1795000
WALKLEY HEIGHTS,815000
WALLAROO,-1
WALLAROO MINES,-1
WALLAROO PLAIN,-1
WAMI KATA,-1
WANBI,-1
WANDEARAH EAST,-1
WANDILO,-1
WANGARY,-1
WARBURTO,-1
WARNERTOWN,-1
WAROOKA,-1
WARRADALE,952500
WARRAMBOO,-1
WASLEYS,-1
WATERLOO,-1
